name,imageurl,wiki
Aegon,https://d1l1fon1fdqzt1.cloudfront.net/img/Aegon.jpg,http://gameofthrones.wikia.com/wiki/Aegon_Targaryen_Son_of_Rhaegar)
Aemon,https://d1l1fon1fdqzt1.cloudfront.net/img/Aemon.jpg,http://gameofthrones.wikia.com/wiki/Aemon
Aerys,https://d1l1fon1fdqzt1.cloudfront.net/img/Aerys.jpg,http://gameofthrones.wikia.com/wiki/Aerys_II_Targaryen
Alliser,https://d1l1fon1fdqzt1.cloudfront.net/img/Alliser.jpg,http://gameofthrones.wikia.com/wiki/Alliser_Thorne
Amory,https://d1l1fon1fdqzt1.cloudfront.net/img/Amory.jpg,http://gameofthrones.wikia.com/wiki/Amory_Lorch
Anguy,https://d1l1fon1fdqzt1.cloudfront.net/img/Anguy.jpg,http://gameofthrones.wikia.com/wiki/Anguy
Arya,https://d1l1fon1fdqzt1.cloudfront.net/img/Arya.jpg,http://gameofthrones.wikia.com/wiki/Arya_Stark
Balon,https://d1l1fon1fdqzt1.cloudfront.net/img/Balon.jpg,http://gameofthrones.wikia.com/wiki/Balon_Greyjoy
Barristan,https://d1l1fon1fdqzt1.cloudfront.net/img/Barristan.jpg,http://gameofthrones.wikia.com/wiki/Barristan_Selmy
Belwas,https://d1l1fon1fdqzt1.cloudfront.net/img/Belwas.jpg,http://gameofthrones.wikia.com/wiki/
Beric,https://d1l1fon1fdqzt1.cloudfront.net/img/Beric.jpg,http://gameofthrones.wikia.com/wiki/Beric_Dondarrion
Bowen,https://d1l1fon1fdqzt1.cloudfront.net/img/Bowen.jpg,http://gameofthrones.wikia.com/wiki/Bowen_Marsh
Bran,https://d1l1fon1fdqzt1.cloudfront.net/img/Bran.jpg,http://gameofthrones.wikia.com/wiki/Bran_Stark
Brienne,https://d1l1fon1fdqzt1.cloudfront.net/img/Brienne.jpg,http://gameofthrones.wikia.com/wiki/Brienne_of_Tarth
Bronn,https://d1l1fon1fdqzt1.cloudfront.net/img/Bronn.jpg,http://gameofthrones.wikia.com/wiki/Bronn
Brynden,https://d1l1fon1fdqzt1.cloudfront.net/img/Brynden.jpg,http://gameofthrones.wikia.com/wiki/Brynden_Tully
Catelyn,https://d1l1fon1fdqzt1.cloudfront.net/img/Catelyn.jpg,http://gameofthrones.wikia.com/wiki/Catelyn_Stark
Cersei,https://d1l1fon1fdqzt1.cloudfront.net/img/Cersei.jpg,http://gameofthrones.wikia.com/wiki/Cersei_Lannister
Chataya,https://d1l1fon1fdqzt1.cloudfront.net/img/Chataya.jpg,http://gameofthrones.wikia.com/wiki/
Craster,https://d1l1fon1fdqzt1.cloudfront.net/img/Craster.jpg,http://gameofthrones.wikia.com/wiki/Craster
Cressen,https://d1l1fon1fdqzt1.cloudfront.net/img/Cressen.jpg,http://gameofthrones.wikia.com/wiki/Cressen
Daario,https://d1l1fon1fdqzt1.cloudfront.net/img/Daario.jpg,http://gameofthrones.wikia.com/wiki/Daario_Naharis
Daenerys,https://d1l1fon1fdqzt1.cloudfront.net/img/Daenerys.jpg,http://gameofthrones.wikia.com/wiki/Daenerys_Targaryen
Dalla,https://d1l1fon1fdqzt1.cloudfront.net/img/Dalla.jpg,http://gameofthrones.wikia.com/wiki/
Davos,https://d1l1fon1fdqzt1.cloudfront.net/img/Davos.jpg,http://gameofthrones.wikia.com/wiki/Davos_Seaworth
Doran,https://d1l1fon1fdqzt1.cloudfront.net/img/Doran.jpg,http://gameofthrones.wikia.com/wiki/Doran_Martell
Drogo,https://d1l1fon1fdqzt1.cloudfront.net/img/Drogo.jpg,http://gameofthrones.wikia.com/wiki/Drogo
Eddard,https://d1l1fon1fdqzt1.cloudfront.net/img/Eddard.jpg,http://gameofthrones.wikia.com/wiki/Eddard_Stark
Eddison,https://d1l1fon1fdqzt1.cloudfront.net/img/Eddison.jpg,http://gameofthrones.wikia.com/wiki/Eddison_Tollett
Edmure,https://d1l1fon1fdqzt1.cloudfront.net/img/Edmure.jpg,http://gameofthrones.wikia.com/wiki/Edmure_Tully
Elia,https://d1l1fon1fdqzt1.cloudfront.net/img/Elia.jpg,http://gameofthrones.wikia.com/wiki/Elia_Martell
